Data,Post,Curtidas,Comentários,Alcance
02:02:2023 10:35,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/328728366_872830157360374_4874552071191628336_n.webp?stp=dst-jpg&_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeFRpRdNCfSL6r2AVZ2fnCo4YqZSMZT55K9iplIxlPnkr-DCX1hlYwnKmNhoykJxckTSOr-M3UR4UpPahivTDyfi&_nc_ohc=bABW_gvIk4QAX9eo6nC&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfB3PBBozRdF7WbHgt_9Vwn4istlKAdaRP6nJBAC-KGJHg&oe=64C3B5D5,126,12,1941
31:01:2023 11:50,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/327990286_517670810437397_4759422666274701543_n.webp?stp=dst-jpg&_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeH7E9qVR5X5JOo5_duQUGzhBLS5T8BtujMEtLlPwG26Myvob3NHOJO4y0jA7I1qzPzQiPWaM4N9gWvJsAdyr1J5&_nc_ohc=iMPgVxPb4RUAX8IexK0&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDnRMfp3mBoj7tDFw0UdQhSDflt-t3S8GPUaVr1xDFTgA&oe=64C37B27,49,9,667
26:01:2023 11:38,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/327182039_483258200623779_6447813041043372513_n.webp?stp=dst-jpg&_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeEnMjvv9QQUFySRLbNlIBylh93JY_rUHemH3clj-tQd6WuAV8OHvQdOIO_Tw7BRN_45jq-C2cmDlJz1rX49QwdQ&_nc_ohc=SYIlOHqjwj8AX8ecs_B&_nc_oc=AQmWRzfWW87YcN6DKlI-jNjWAB-mGGkNKmDGY5Kk2mZZM49QcGDuIz5FM573kUvL_r0&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDIkP84Uq1BoIZzeaNxQzp6xL-Kt772pd1oQ85gEpaYdg&oe=64C4144C,45,8,686
24:01:2023 12:17,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/327196249_2424269334408878_7366551324287927543_n.webp?stp=dst-jpg&_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeHCY7B511tfzFKPtwjRVGhdjiWmADCbNcyOJaYAMJs1zE7BsTm9s03nuw9bvLia_csw1I1E2OSPAT6CyRFaesTg&_nc_ohc=oGfun47F7S4AX9nNBHc&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfC_ouTNDXrYMH66Hc546BVUBDOAU7jlxlTYqaDZfcyqjQ&oe=64C31ACC,47,6,731
19:01:2023 12:58,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/326196129_682415176699407_8639210312634377271_n.webp?stp=dst-jpg&_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeF4Q8nHCkNDFSmEn98DRWxuXCiyATG2V6xcKLIBMbZXrE5pZlFg5jmplyZeX4DWiHzO-qC-fOPH4lZR6BMSln95&_nc_ohc=TewFpYtHstsAX-7paOk&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBjfX8etmJqOcUsX2LRxKAZDZ5qcMhIyFYfg6YbU93kEg&oe=64C2D0EF,56,11,706
17:01:2023 13:03,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/325754447_144370428449789_2319871622873193156_n.webp?stp=dst-jpg&_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeGXGq0f7ulM_IgCoKlQf5ZkktFjb70XgVaS0WNvvReBVinrgytzeClpLNdaUOWO4vpbRsQrxOSBQIjvEJJDYuQB&_nc_ohc=AcYTME-J_cAAX_TvDRw&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfC0rNJovdb9_YHXad3koW2ILICna5MOW-sXKp9aJKAGQQ&oe=64C481B6,65,10,955
31:12:2022 13:07,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/322841974_740050970847833_5903761829842705660_n.webp?stp=dst-jpg&_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeERUudFHVrwnLlWquHrQnFlt3X9HtNIx3-3df0e00jHfyfjB4yxY-Yo1lIrpzrXfsdlrVakvthCgt6efl5Mg8JY&_nc_ohc=2k0o0198_-4AX9W_HuI&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCV9Hy6nsURnhZbw4BiBHcqot0lzGU93sD26uAYFQeg4g&oe=64C2E5BE,36,2,513
20:12:2022 08:57,,59,11,2149
15:12:2022 07:29,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/319685500_531363199012236_9169635394109286318_n.webp?stp=dst-jpg&_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeG2iasKTzyePtwkAreQbvtLs-YhodnkOcqz5iGh2eQ5ynsWmo5oz91sMDfro2xKVEZ5Ou1plPShVh-aUZ2pGg6m&_nc_ohc=lCwjYbx_x7AAX-ZNkTI&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCmL1yEc2YOfRWmLlIPcFJbhs1ailokjRuk1gAA0FmoIw&oe=64C36E56,35,2,1242
13:12:2022 15:51,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/319321653_549710736673694_6155307026489242920_n.webp?stp=dst-jpg&_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeHndSv-v0B3lECMCy5wI3W4KokFdv84WvsqiQV2_zha-1EP1vw-GnDX13BgssfueX0Mjbiozg_-zCxDS4QR1F37&_nc_ohc=hHhqAA7OVpkAX8OrkXQ&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDoq6YrhkOo82tiQgaye79g3PchQzS4l5vG5pXYBGzOTg&oe=64C31E78,119,9,1347
01:12:2022 20:59,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/317920074_107325095487976_5892186768816748417_n.webp?stp=dst-jpg&_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeHjL-9URPR970L-10SpiLTrmKstBYbZCnKYqy0FhtkKcsXi6iHAW_c-i52oKOviYaaEBS0qTi5upWebFR99qYAc&_nc_ohc=6COd_nNjF-IAX8sAfqA&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfD9wCrgK0FX9G3ybrXe183lpkdW1V9udDKk5LGOe9GCHA&oe=64C4451F,140,2,1806
